"Frame","Type","Title","Body","Priority","Status","Owner","Source"
"01 — Project North Star","context","Problem","فرآیند فعلی به‌شدت Person-Centric و Human-Driven است: سفارش از پیام‌رسان وارد می‌شود، دوباره در Excel ثبت می‌شود، بیجک کاغذی صادر می‌شود و وضعیت تولید با تماس و پیام پیگیری می‌شود. نتیجه، دوباره‌کاری، نبود منبع واحد حقیقت، گلوگاه‌های نامرئی و وابستگی زیاد به مسئول سفارشات است.","High","Review","Product/BA","Discovery"
"01 — Project North Star","context","North Star","یک Workflow Engine داخلی که وضعیت واقعی هر سفارش را در سطح مرحله و تعداد، همراه با پارچه، برنامه تولید، بیجک، کنترل کیفیت و خروج ثبت کند و برای مدیر و مسئول سفارشات دید لحظه‌ای بسازد.","High","Review","Team","Discovery"
"02 — Current State","stage","ثبت سفارش در فروشگاه","Owner: کارشناس فروش / نمایندگی
Pain: اطلاعات ساخت‌یافته و یکپارچه نیست","","As-Is","کارشناس فروش / نمایندگی","PDF p.8,10"
"02 — Current State","stage","ایجاد فرم تولید","Owner: فروشنده
Pain: ورود دستی و احتمال خطا","","As-Is","فروشنده","PDF p.8"
"02 — Current State","stage","ارسال به مسئول سفارشات","Owner: فروشنده
Pain: ورودی از کانال غیرساخت‌یافته","","As-Is","فروشنده","PDF p.8,11"
"02 — Current State","stage","ثبت در Excel","Owner: مسئول سفارشات
Pain: بزرگترین نقطه ورود مجدد داده","","As-Is","مسئول سفارشات","PDF p.8,9"
"02 — Current State","stage","صدور بیجک تولید","Owner: مسئول سفارشات
Pain: کار دستی و تکرار اطلاعات","","As-Is","مسئول سفارشات","PDF p.8,10"
"02 — Current State","stage","برنامه‌ریزی هفتگی","Owner: مسئول سفارشات / مدیر تولید
Pain: هماهنگی ظرفیت واحدها دشوار است","","As-Is","مسئول سفارشات / مدیر تولید","PDF p.8,10"
"02 — Current State","stage","اجرای تولید","Owner: نجاری، زیرکار، برش و خیاطی، رویه‌کوبی
Pain: واحدها همگام نیستند و WIP دیده نمی‌شود","","As-Is","نجاری، زیرکار، برش و خیاطی، رویه‌کوبی","PDF p.8,11,12"
"02 — Current State","stage","کنترل کیفیت","Owner: واحد کنترل کیفیت
Pain: مسیر Rework و ثبت نتیجه نیازمند تعریف است","","As-Is","واحد کنترل کیفیت","PDF p.8,10,12"
"02 — Current State","stage","صدور برگه خروج","Owner: مسئول تحویل
Pain: ارتباط با سیستم مالی نامشخص است","","As-Is","مسئول تحویل","PDF p.9"
"02 — Current State","stage","تحویل و ارسال","Owner: مسئول تحویل / ارسال
Pain: زمان و وضعیت تحویل در منبع واحد ثبت نمی‌شود","","As-Is","مسئول تحویل / ارسال","PDF p.9,10"
"03 — Future State","stage","ثبت دیجیتال سفارش","Lane: Order & Approval
DoD: Order + Order Items کامل و دارای تاریخ تحویل مورد انتظار","High","Proposed","فروش / مسئول سفارشات","Workflow Studio"
